SOURCE_FILE,ROOT_PART_NUM,LATEST_PART_NUM,PART_DESC,PURCHASE_PRICE,MINIMUM_ORDER_QTY,LOC_CD,SLF_FACTOR,LEAD_TIME,ORDER_CYCLE,ALPHA_VAL,BETA_VAL,TRANS_COUNT_6_MONTH,STANDARD_DEVIATION,AVG_CONSUMPTION,WT_AVG_CONSUMPTION,MIN_ORDER_LEVEL,RE_ORDER_LEVEL,MAX_ORDER_LEVEL,OLD_MAX_LVL,STOCK_QTY,ON_ORDER_QTY,CUST_BACK_ORDER,OLD_CBO,SOQ_QTY,PARENT_GROUP,DEALER_MAP_CD,COMP_FA,PART_FAMILY_AGE,DEAD_STOCK_YN
SOQ_18-12-2025,17830M79M10,17830M79M10,PIPE  WATER INLET,281.03,1,THN,1.64,5,3,,,0,,0,0,,0,0,0,0,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,17846M76A20,17846M83B00,HOSE RADIATOR INLET RH,98.58,1,THN,1.64,4,3,0,0,1,0,0.33,0.2,0,0,0,0,0,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,17852M65MA0,17852M65MA0,HOSE RADIATOR INLET,125.42,1,THN,1.64,5,3,,,0,,0,0,,0,0,0,0,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,17854M69R00,17854M69R00,HOSE RDTR OUTLET,66.77,1,THN,1.64,5,3,0,0,3,0,0.33,0.35,0,0,0,0,0,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,17859-65H00,17859M65MA0,CLIP,16.5,1,THN,1.64,5,3,,,0,,0,0,,0,0,0,1,0,0,0,0,AML,12658,AML,New Part,N
SOQ_18-12-2025,17872M74L00,17872M74L00,HOSE  HTR OUTLET,54.15,1,THN,1.64,5,3,,,0,,0,0,,0,0,0,0,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,17878M74L00,17878M74L00,MOUNT  RADIATOR SUPPORT LOWER,10.39,5,THN,1.64,5,3,60,30,7,1.6,2,1.4,2.38,2.75,6,6,14,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,17879M76M00,17879M76M00,MOUNT RADIATOR SUPPORT UPPER,20.65,1,THN,1.64,4,3,30,15,38,0.58,16,9.59,6.92,9.16,19,19,15,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,17861M74TC0,17861M74TC0,BRACKET  RDTR SUPPORT UPPER,25.2,1,THN,1.64,5,3,0,0,1,0,0.33,0.35,0,0,0,0,2,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,17892N86J00,17892M86J00,O-RING BYPASS WTR PIPE,3.06,10,THN,1.64,5,3,,,0,,0,0,,0,0,0,0,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,17931M68P00,17931M68P00,TANK  WATER RESERVE,163.53,1,THN,1.64,4,3,15,7,8,1.13,2,1.4,0.93,1.26,2,2,4,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,18136N86J00,18136M86J00,BOLT ENG HOOK,6.72,1,THN,1.64,5,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,AML,12658,AML,New Part,N
SOQ_18-12-2025,18213M52T10,18213M52T11,SENSOR OXYGEN RR,1533.16,1,THN,1.64,4,3,0,0,4,0,1,1,0,0,0,0,1,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,18215M74T00,18215M74T00,SENSOR GPF PRESSURE,1189.47,1,THN,1.64,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AML,12658,AML,New Part,N
SOQ_18-12-2025,22000M55LA1,22000M55LA1,CLUTCH ASSY,12573.37,1,THN,1.64,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,AML,12658,AML,Abnormal Demand,N
SOQ_18-12-2025,22000M72R20,22000M72R20,CLUTCH SET,4452.35,1,THN,1.64,4,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,22100M55T00,22100M55T00,COVER ASSY CLUTCH,1172.48,1,THN,1.64,4,3,0,0,8,2.03,1.33,0.77,0.6,1,1,1,2,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,22100M80T00,22100M80T00,COVER ASSY CLUTCH,1141.63,1,THN,1.64,5,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,22100M82S00,22100M82S00,COVER ASSY CLUTCH,1033.76,1,THN,1.64,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,22100M86J40,22100M86J40,COVER ASSY CLUTCH,930.89,5,THN,1.64,4,3,0,0,13,1.23,2.33,1.54,0.73,1.08,2,2,5,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,22100M86J60,22100M86J61,COVER ASSY CLUTCH,982.28,1,THN,1.64,4,3,0,0,10,1.23,2.33,1.47,0.69,1.04,2,2,0,2,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,22113M55LA0,22113M55LA0,BOLT CLUTCH COVER,32.3,10,THN,1.64,5,3,0,0,1,0,0.33,0.45,0,0,0,0,3,0,0,0,0,AML,12658,AML,Old Part,N
